Author,Genre,Name,Year,Price,Reviews,User Rating
Dr. Seuss,Fiction,"Oh, the Places You'll Go!",2016,8,21834,4.9
Dr. Seuss,Fiction,"Oh, the Places You'll Go!",2017,8,21834,4.9
Dr. Seuss,Fiction,"Oh, the Places You'll Go!",2018,8,21834,4.9
Dr. Seuss,Fiction,"Oh, the Places You'll Go!",2019,8,21834,4.9
Jeff Kinney,Fiction,Old School (Diary of a Wimpy Kid #10),2015,7,6169,4.8
Elizabeth Strout,Fiction,Olive Kitteridge,2009,12,4519,4.2
Ann Voskamp,Non Fiction,One Thousand Gifts: A Dare to Live Fully Right Where You Are,2011,13,3163,4.6
Ann Voskamp,Non Fiction,One Thousand Gifts: A Dare to Live Fully Right Where You Are,2012,13,3163,4.6
Sheryl Sandberg,Non Fiction,"Option B: Facing Adversity, Building Resilience, and Finding Joy",2017,9,1831,4.5
Dan Brown,Fiction,Origin: A Novel (Robert Langdon),2017,13,18904,4.3
Christina Baker Kline,Fiction,Orphan Train,2014,11,21930,4.6
Malcolm Gladwell,Non Fiction,Outliers: The Story of Success,2009,20,10426,4.6
Malcolm Gladwell,Non Fiction,Outliers: The Story of Success,2010,20,10426,4.6
Naomi Kleinberg,Non Fiction,P is for Potty! (Sesame Street) (Lift-the-Flap),2018,5,10820,4.7
Naomi Kleinberg,Non Fiction,P is for Potty! (Sesame Street) (Lift-the-Flap),2019,5,10820,4.7
Rick Riordan,Fiction,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),2010,2,548,4.8
Wizards RPG Team,Fiction,Player's Handbook (Dungeons & Dragons),2017,27,16990,4.8
Wizards RPG Team,Fiction,Player's Handbook (Dungeons & Dragons),2018,27,16990,4.8
Wizards RPG Team,Fiction,Player's Handbook (Dungeons & Dragons),2019,27,16990,4.8
Scholastic,Fiction,Pok̩mon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pok̩mon,2016,9,3503,4.7
Eben Alexander,Non Fiction,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,2012,10,13616,4.3
Eben Alexander,Non Fiction,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,2013,10,13616,4.3
American Psychological Association,Non Fiction,"Publication Manual of the American Psychological Association, 6th Edition",2009,46,8580,4.5
American Psychological Association,Non Fiction,"Publication Manual of the American Psychological Association, 6th Edition",2010,46,8580,4.5
American Psychological Association,Non Fiction,"Publication Manual of the American Psychological Association, 6th Edition",2011,46,8580,4.5
